,Name,Resale,Lolibrary
242,"L-2221	**Stained** BABY, THE STARS SHINE BRIGHT Kumya-chan JSK white",$45 ,NA
243,"L-2220	**Lace discolored, shoulder elastic stretched** Mary Magdalene Carlotta OP pink",$40 ,NA
244,"L-2219	**stained** Mary Magdalene Ekaterina OP pink",$40 ,NA
245,"L-2218	**stained** PUTUMAYO Sweets JSK & Socks brown",$35 ,NA
246,"L-2217	**Discolored** Angelic Pretty Floral JSK yellow",$40 ,NA
247,Wonder Story round  JSK,$200 ,NA
248,"L-2216	**Discolored** Chocochip Cookie Lace & Gingham JSK black",$35 ,NA
249,"L-2215	**Stained**Mary Magdalene Trop Jenne JSK pink",$40 ,NA
250,"L-2214	**Stained** Innocent World Floral Halterneck JSK",$40 ,NA
251,"L-2213	**Stained, shirring stretched, missing button** Innocent World Floral JSK pink",$40 ,NA
252,"L-2212	**Stained** ALICE and the PIRATES Operalia Bouquet JSK ivory",$40 ,NA
253,Free worldwide shipping Diamond Honey chocolate bear jsk full set,$90 ,NA
254,"Cats Broom Pizza Cat Print Long High Waist JSK Set in ""Gray Purple""",$80 ,NA
255,Angelic Pretty Sweet Bakery Special Set in Mint,$155 ,https://lolibrary.org/items/ap-sweet-bakery-special-jsk-set
256,Angelic Pretty Holy Theater Switching JSK Ivory,NA,https://lolibrary.org/items/ap-holy-theater-switching-jsk
257,Enchantlic Enchantilly Chantilly Queen Cat OP Black ,NA,https://lolibrary.org/items/chantilly-queen-cat-op
258,Baby the stars shine bright Le BouquetÉternel JSK+KC,NA,NA
259,Sugar Dream Dome navy high-waist JSK Angelic Pretty,NA,https://lolibrary.org/items/ap-sugar-dream-dome-high-waist-jsk
260,Angelic Pretty Mercator Antique Shop Long JSK + Headbow -- Navy ,$406 ,https://lolibrary.org/items/ap-mercator-antique-shop-head-bow
261,Angelic Pretty Petit Garden OP (White),$162 ,https://lolibrary.org/items/ap-petit-garden-op
262,*Damaged* Taobao Annie's wonderland OP ,$30 ,NA
263,"Haenuli Royal Crown JSK in Black, size XL - FREE SHIPPING WITHIN US",$235 ,https://lolibrary.org/items/indie-haenuli-royal-crown-jsk
264,Akane&Alois Ideal Nation 理想国 OP,NA,NA
265,AatP Psyche OP - Black,$234 ,https://lolibrary.org/items/aatp-psyche-the-doctor-and-the-eternal-sunshine-op
266,Sweetie Violet JSK angelic Pretty in SAX,$300 ,NA
267,"L-1995	**Stained, shirring stretched** metamorphose Dot JSK pink",$32 ,NA
268,"L-1998	**Discolored, stained** Heart E JSK & Blouse",$32 ,NA
269,"L-2169	**Discolored** BABY, THE STARS SHINE BRIGHT Shirring Princess JSK pink",$40 ,NA
270,"L-2174	** Elastic stretched** BABY, THE STARS SHINE BRIGHT JSK black",$40 ,NA
271,"L-2100	ALICE and the PIRATES Victorian Cards JSK I green",$54 ,NA
272,Emily Temple Cute Candy wrapper OP,NA,NA
273,Jane Marple Fruit Candy JSK,NA,http://lolibrary.org/apparel/fruit-candy-jsk
274,Lief Sacred Night JSK,NA,http://lolibrary.org/apparel/lief-sacred-night-jsk
275,Victorian Maiden Rococo Bouquet JSK and headdress,NA,NA
276,Alice and the Pirates Bird Cage JSK,NA,http://lolibrary.org/apparel/bird-cage-jsk
277,Lief Celestial JSK,NA,http://lolibrary.org/apparel/lief-celestial-series-jsk
278,Metamorphose Cherry Chiffon Frill Pinafore JSK,NA,http://lolibrary.org/apparel/cherry-chiffon-frill-pinafore-jsk
279,Lief Noble High Tea OP and bow pins,NA,http://lolibrary.org/apparel/lief-noble-high-tea-series-op
280,Angelic Pretty Fairy Marine OP,NA,http://lolibrary.org/apparel/fairy-marine-op
281,Jane Marple Strawberry Border Square JSK,NA,http://lolibrary.org/apparel/strawberry-border-square-jsk
282,Juliette et Justine Rosery solennel robe,NA,http://lolibrary.org/apparel/rosery-solennel-robe
283,Innocent World Antonia JSK,NA,http://lolibrary.org/apparel/antonia-jsk
284,Emily Temple Cute JSK,NA,NA
285,Emily Temple Cute teal JSK,NA,NA
286,Emily Temple Cute Strawberry Gingham JSK,NA,NA
287,Alice and the Pirates Royal crown's tea package JSK II,NA,http://lolibrary.org/apparel/royal-crowns-tea-package-jsk-ii
288,Dot Midnight Doll OP Black *missing parts,$165 ,NA
289,Pure Doll JSK + Head bow,NA,NA
